disciplina,area,durata_anni,territorio,tipo_territorio,contratti_annui_totali,contratti_quinquennio_2026_2031,tasso_abbandono_stimato,nuovi_specialisti_effettivi_5anni,stock_medici_attivi,quota_pensionandi_60plus,pensionamenti_stimati_2026_2031,delta_demografico_target_pct,target_demografico,qol_score_base,notti_mese,reperibilita_mese,ore_settimanali,classe_rischio_legale,indice_burnout,rep_lorda_annua,rep_netta_annua,rep_privato_stimato
Endocrinologia e malattie del metabolismo,Medica,4,Campania,Regione,19,95,0.02,93,104,0.38,40,12.63,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Emilia-Romagna,Regione,15,75,0.02,74,84,0.38,32,9.01,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Friuli-Venezia Giulia,Regione,4,20,0.02,20,22,0.38,8,7.69,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Lazio,Regione,19,95,0.02,93,107,0.38,41,11.48,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Liguria,Regione,5,25,0.02,24,28,0.399,11,6.51,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Lombardia,Regione,34,170,0.02,167,188,0.361,68,10.72,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Marche,Regione,5,25,0.02,24,28,0.38,11,8.41,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Molise,Regione,1,5,0.02,5,5,0.399,2,6.78,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Piemonte,Regione,14,70,0.02,69,79,0.38,30,6.84,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Puglia,Regione,13,65,0.02,64,72,0.38,27,9.8,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Sardegna,Regione,5,25,0.02,24,29,0.38,11,9.57,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Sicilia,Regione,16,80,0.02,78,89,0.399,36,9.46,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Toscana,Regione,12,60,0.02,59,68,0.38,26,7.45,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Umbria,Regione,3,15,0.02,15,16,0.38,6,7.61,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Valle d'Aosta,Regione,0,0,0.02,0,2,0.38,1,10.58,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Veneto,Regione,16,80,0.02,78,91,0.361,33,11.23,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,P.A. Bolzano,Regione,2,10,0.02,10,10,0.361,4,15.77,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,P.A. Trento,Regione,2,10,0.02,10,10,0.361,4,12.85,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Gastroenterologia,Medica,4,Italia (Nazionale),Nazionale,206,1030,0.02,1009,2000,0.38,760,8.5,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Abruzzo,Regione,4,20,0.02,20,43,0.38,16,9.03,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Basilicata,Regione,2,10,0.02,10,18,0.399,7,8.52,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Calabria,Regione,6,30,0.02,29,62,0.399,25,9.5,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Campania,Regione,19,95,0.02,93,189,0.38,72,12.63,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Emilia-Romagna,Regione,16,80,0.02,78,152,0.38,58,9.01,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Friuli-Venezia Giulia,Regione,4,20,0.02,20,40,0.38,15,7.69,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Lazio,Regione,20,100,0.02,98,194,0.38,74,11.48,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Liguria,Regione,5,25,0.02,24,51,0.399,20,6.51,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Lombardia,Regione,35,175,0.02,172,341,0.361,123,10.72,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Marche,Regione,5,25,0.02,24,50,0.38,19,8.41,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Molise,Regione,1,5,0.02,5,10,0.399,4,6.78,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Piemonte,Regione,15,75,0.02,74,144,0.38,55,6.84,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
